# [reference standard])
# imdb2009
# James Bond actor name
([21253184, 7898000, 39646063], [(7898000, 21253184), (7898000, 39646063)]) # Pearson, John
([21253184, 7328442, 39569415], [(7328442, 21253184), (7328442, 39569415)]) # Moore, Roger
([21253184, 7328494, 39569415], [(7328494, 21253184), (7328494, 39569415)]) # Moore, Roger
([21253184, 7328561, 39569415], [(7328561, 21253184), (7328561, 39569415)]) # Moore, Roger
([21253184, 3324992, 39025951], [(3324992, 21253184), (3324992, 39025951)]) # Brosnan, Pierce
([21253184, 3959151, 39104430], [(3959151, 21253184), (3959151, 39104430)]) # Craig, Daniel
([21253184, 3324989, 39025951], [(3324989, 21253184), (3324989, 39025951)]) # Brosnan, Pierce
([21253184, 4068906, 39120432], [(4068906, 21253184), (4068906, 39120432)]) # Dalton, Timothy
([21253184, 7328399, 39569415], [(7328399, 21253184), (7328399, 39569415)]) # Moore, Roger
([21253184, 7328489, 39569415], [(7328489, 21253184), (7328489, 39569415)]) # Moore, Roger
([21253184, 7328502, 39569415], [(7328502, 21253184), (7328502, 39569415)]) # Moore, Roger
([21253184, 7328590, 39569415], [(7328590, 21253184), (7328590, 39569415)]) # Moore, Roger
([21253184, 3324877, 39025951], [(3324877, 21253184), (3324877, 39025951)]) # Brosnan, Pierce
([21253184, 4068882, 39120432], [(4068882, 21253184), (4068882, 39120432)]) # Dalton, Timothy
([21253184, 3959180, 39104430], [(3959180, 21253184), (3959180, 39104430)]) # Craig, Daniel
([21253184, 3324865, 39025951], [(3324865, 21253184), (3324865, 39025951)]) # Brosnan, Pierce
([21253184, 3860913, 39093359], [(3860913, 21253184), (3860913, 39093359)]) # Connery, Sean
([21253184, 3959148, 39104430], [(3959148, 21253184), (3959148, 39104430)]) # Craig, Daniel
([21253184, 3860903, 39093359], [(3860903, 21253184), (3860903, 39093359)]) # Connery, Sean
([21253184, 3861043, 39093359], [(3861043, 21253184), (3861043, 39093359)]) # Connery, Sean
([21253184, 3861010, 39093359], [(3861010, 21253184), (3861010, 39093359)]) # Connery, Sean
([21253184, 6454410, 39449988], [(6454410, 21253184), (6454410, 39449988)]) # Lazenby, George
([21253184, 3860898, 39093359], [(3860898, 21253184), (3860898, 39093359)]) # Connery, Sean
([21253184, 3860959, 39093359], [(3860959, 21253184), (3860959, 39093359)]) # Connery, Sean
([21253184, 3860915, 39093359], [(3860915, 21253184), (3860915, 39093359)]) # Connery, Sean
([21253184, 3860902, 39093359], [(3860902, 21253184), (3860902, 39093359)]) # Connery, Sean
([21253184, 5516707, 39315014], [(5516707, 21253184), (5516707, 39315014)]) # Hengst, Mark
([21253184, 3861058, 39093359], [(3861058, 21253184), (3861058, 39093359)]) # Connery, Sean
([21253184, 3861048, 39093359], [(3861048, 21253184), (3861048, 39093359)]) # Connery, Sean
([21529139, 3720004, 39075076], [(3720004, 21529139), (3720004, 39075076)]) # Chiquito
([22546421, 8958300, 39795834], [(8958300, 22546421), (8958300, 39795834)]) # Simmons, Bob
