# [reference standard]
# imdb2009
# the cast of Star Wars
([40526792, 14127279, 43774547], [(43774547, 14127279), (40526792, 14127279)]) #Sterling, Gail
([39086380, 19327697, 43774547], [(43774547, 19327697), (39086380, 19327697)]) #Cole, Lawrence T.
([39137535, 4203842, 43774547], [(43774547, 4203842), (39137535, 4203842)]) #Dee, Billy
([39609001, 7616326, 43774547], [(43774547, 7616326), (39609001, 7616326)]) #North, Peter
([40340372, 12815001, 43774547], [(43774547, 12815001), (40340372, 12815001)]) #Marlene, Lili
([39997472, 10385825, 43774547], [(43774547, 10385825), (39997472, 10385825)]) #Annie, Little Oral
([40213950, 11956173, 43774547], [(43774547, 11956173), (40213950, 11956173)]) #Hartley, Nina
([39481192, 15745704, 44182175], [(44182175, 15745704), (39481192, 15745704)]) #Lucas, George
([39481192, 17382291, 44182175], [(44182175, 17382291), (39481192, 17382291)]) #Lucas, George
([39945756, 18981915, 44182175], [(44182175, 18981915), (39945756, 18981915)]) #Williams, John
([39481192, 19688881, 44182175], [(44182175, 19688881), (39481192, 19688881)]) #Lucas, George
([39481192, 20416148, 44182175], [(44182175, 20416148), (39481192, 20416148)]) #Lucas, George
([38926153, 20688964, 44182175], [(44182175, 20688964), (38926153, 20688964)]) #Anderson, Bob
([41213784, 20988613, 44182175], [(44182175, 20988613), (41213784, 20988613)]) #Comandini, Pete
([39110389, 21028188, 44182175], [(44182175, 21028188), (39110389, 21028188)]) #Cuba, Larry
([41232371, 21113978, 44182175], [(44182175, 21113978), (41232371, 21113978)]) #Doyle, Brian
([39472705, 1346867, 44182175], [(44182175, 1346867), (39472705, 1346867)]) #Lippincott, Charles
([41415382, 1922937, 44182175], [(44182175, 1922937), (41415382, 1922937)]) #Shourt, James
([39841753, 2015658, 44182175], [(44182175, 2015658), (39841753, 2015658)]) #Summer, Edward
([39927653, 2162342, 44182175], [(44182175, 2162342), (39927653, 2162342)]) #Wash, John C.
([38963234, 2276178, 44182175], [(44182175, 2276178), (38963234, 2276178)]) #Barry, John
([38954728, 2799277, 44182175], [(44182175, 2799277), (38954728, 2799277)]) #Baker, Kenny
([38953770, 2800275, 44182175], [(44182175, 2800275), (38953770, 2800275)]) #Baker, Rick
([39067726, 3678271, 44182175], [(44182175, 3678271), (39067726, 3678271)]) #Chapman, John
([39092670, 3855202, 44182175], [(44182175, 3855202), (39092670, 3855202)]) #Condren, Tim
([39232380, 4913911, 44182175], [(44182175, 4913911), (39232380, 4913911)]) #Gagliano, Ted
([39256370, 5098232, 44182175], [(44182175, 5098232), (39256370, 5098232)]) #Goffe, Rusty
([39256370, 5098233, 44182175], [(44182175, 5098233), (39256370, 5098233)]) #Goffe, Rusty
([39256370, 5098234, 44182175], [(44182175, 5098234), (39256370, 5098234)]) #Goffe, Rusty
([39268790, 5180744, 44182175], [(44182175, 5180744), (39268790, 5180744)]) #Grand, Isaac
([39283453, 5274099, 44182175], [(44182175, 5274099), (39283453, 5274099)]) #Guinness, Alec
([39315031, 5511529, 44182175], [(44182175, 5511529), (39315031, 5511529)]) #Henderson, Don
([39315372, 5517349, 44182175], [(44182175, 5517349), (39315372, 5517349)]) #Henley, Drewe
([39393200, 6072028, 44182175], [(44182175, 6072028), (39393200, 6072028)]) #Kaye, Joe
([39411359, 6194632, 44182175], [(44182175, 6194632), (39411359, 6194632)]) #Kitchens, Colin Michael
([39504673, 6830951, 44182175], [(44182175, 6830951), (39504673, 6830951)]) #Mangan, Alf
([39524818, 6998892, 44182175], [(44182175, 6998892), (39524818, 6998892)]) #Mayhew, Peter
([39566964, 7320225, 44182175], [(44182175, 7320225), (39566964, 7320225)]) #Moon, Jeff
