# [reference standard]
# imdb2009
# actors of X-Men
([(41419995, 1949082, 44311720)], [(44311720, 1949082), (41419995, 1949082)]) #Smith, Ashley Joelle in X-Men Origins: Wolverine
([(41464416, 2226445, 44311720)], [(44311720, 2226445), (41464416, 2226445)]) #Wolput, Sean in X-Men Origins: Wolverine
([(39788630, 8924120, 44311720)], [(44311720, 8924120), (39788630, 8924120)]) #Shrimpton, John in X-Men Origins: Wolverine
([(41242027, 21175591, 44311720)], [(44311720, 21175591), (41242027, 21175591)]) #Favale, Taylor M. in X-Men Origins: Wolverine
([(41342454, 1475197, 44311720)], [(44311720, 1475197), (41342454, 1475197)]) #Meade, Sean in X-Men Origins: Wolverine
([(39632781, 1636878, 44311720)], [(44311720, 1636878), (39632781, 1636878)]) #Pagotto, Rick in X-Men Origins: Wolverine
([(41426294, 1984840, 44311720)], [(44311720, 1984840), (41426294, 1984840)]) #Steacy, Ryan in X-Men Origins: Wolverine
([(39621536, 7722008, 44311720)], [(44311720, 7722008), (39621536, 7722008)]) #Olsen, Michael-James in X-Men Origins: Wolverine
([(39709020, 8333834, 44311720)], [(44311720, 8333834), (39709020, 8333834)]) #Reynolds, Ryan in X-Men Origins: Wolverine
([(41190845, 20832149, 44311720)], [(44311720, 20832149), (41190845, 20832149)]) #Bowring, John in X-Men Origins: Wolverine
([(39145117, 21085592, 44311720)], [(44311720, 21085592), (39145117, 21085592)]) #Dever, James D. in X-Men Origins: Wolverine
([(41280742, 1090344, 44311720)], [(44311720, 1090344), (41280742, 1090344)]) #Hinton, James in X-Men Origins: Wolverine
([(39027458, 3344283, 44311720)], [(44311720, 3344283), (39027458, 3344283)]) #Browne, Henry in X-Men Origins: Wolverine
([(39145117, 4268105, 44311720)], [(44311720, 4268105), (39145117, 4268105)]) #Dever, James D. in X-Men Origins: Wolverine
([(39614745, 7682838, 44311720)], [(44311720, 7682838), (39614745, 7682838)]) #O'Sullivan, Tom in X-Men Origins: Wolverine
([(40034523, 10649468, 44311720)], [(44311720, 10649468), (40034523, 10649468)]) #Blake, Julia in X-Men Origins: Wolverine
([(40759175, 15980299, 44311720)], [(44311720, 15980299), (40759175, 15980299)]) #Palermo, John in X-Men Origins: Wolverine
([(41089173, 871872, 44311720)], [(44311720, 871872), (41089173, 871872)]) #Forrest, Jane in X-Men Origins: Wolverine
([(39791400, 1924406, 44311720)], [(44311720, 1924406), (39791400, 1924406)]) #Shuster, Rick in X-Men Origins: Wolverine
([(39409338, 15613385, 44283522)], [(44283522, 15613385), (39409338, 15613385)]) #Kinberg, Simon in X-Men: First Class
([(40508137, 16241725, 44283522)], [(44283522, 16241725), (40508137, 16241725)]) #Shuler Donner, Lauren in X-Men: First Class
([(39769407, 17772567, 44283522)], [(44283522, 17772567), (39769407, 17772567)]) #Schwartz, Josh in X-Men: First Class
([(39409338, 17277600, 44237809)], [(44237809, 17277600), (39409338, 17277600)]) #Kinberg, Simon in X-Men: The Last Stand
([(39513569, 6890030, 44313678)], [(44313678, 6890030), (39513569, 6890030)]) #Marsden, James in X-Men
([(39513569, 6890031, 44313678)], [(44313678, 6890031), (39513569, 6890031)]) #Marsden, James in X-Men
([(39807781, 9044632, 44313678)], [(44313678, 9044632), (39807781, 9044632)]) #Snow, Robert R. in X-Men
([(39142019, 16902024, 44313678)], [(44313678, 16902024), (39142019, 16902024)]) #DeSanto, Tom in X-Men
([(41223152, 21058407, 44313678)], [(44313678, 21058407), (41223152, 21058407)]) #Dawson, Robert in X-Men
([(41416508, 1921728, 44313678)], [(44313678, 1921728), (41416508, 1921728)]) #Shone, John in X-Men
([(39142019, 4259231, 44313678)], [(44313678, 4259231), (39142019, 4259231)]) #DeSanto, Tom in X-Men
([(39142019, 15163289, 44313678)], [(44313678, 15163289), (39142019, 15163289)]) #DeSanto, Tom in X-Men
([(41253668, 912339, 44313678)], [(44313678, 912339), (41253668, 912339)]) #Gardiner, Robert in X-Men
([(41287208, 1132016, 44313678)], [(44313678, 1132016), (41287208, 1132016)]) #Hutchinson, John in X-Men
([(41420985, 1950338, 44313678)], [(44313678, 1950338), (41420985, 1950338)]) #Smith, Dave Ian in X-Men
([(39038480, 3433174, 44313678)], [(44313678, 3433174), (39038480, 3433174)]) #Buza, George in X-Men
([(39597144, 7529162, 44313678)], [(44313678, 7529162), (39597144, 7529162)]) #Nelles, John in X-Men
([(39717191, 8422250, 44313678)], [(44313678, 8422250), (39717191, 8422250)]) #Roberts, Shawn in X-Men
([(40115437, 11230580, 44313678)], [(44313678, 11230580), (40115437, 11230580)]) #De Luca, Cheryl in X-Men
([(41159946, 20642224, 44313678)], [(44313678, 20642224), (41159946, 20642224)]) #Wright, John in X-Men
([(38982131, 20781393, 44313678)], [(44313678, 20781393), (38982131, 20781393)]) #Berger, John 'Frenchie' in X-Men
([(41339381, 1440973, 44313678)], [(44313678, 1440973), (41339381, 1440973)]) #Mazaraki, Robert in X-Men
([(40759175, 1638928, 44313678)], [(44313678, 1638928), (40759175, 1638928)]) #Palermo, John in X-Men
([(39586161, 2379354, 44313678)], [(44313678, 2379354), (39586161, 2379354)]) #Myhre, John in X-Men
([(39675064, 18866945, 44237809)], [(44237809, 18866945), (39675064, 18866945)]) #Powell, John in X-Men: The Last Stand
([(40337361, 19083236, 44237809)], [(44237809, 19083236), (40337361, 19083236)]) #Makovsky, Judianna in X-Men: The Last Stand
([(41178872, 20759235, 44237809)], [(44237809, 20759235), (41178872, 20759235)]) #Baxter, Damian in X-Men: The Last Stand
([(41192532, 20842675, 44237809)], [(44237809, 20842675), (41192532, 20842675)]) #Braun, Leon Thomas in X-Men: The Last Stand
([(41222718, 21050669, 44237809)], [(44237809, 21050669), (41222718, 21050669)]) #David, Martineau in X-Men: The Last Stand
